Date Time UTC;T - Actual [°C];T - Average [°C];RH - Actual [%];RH - Average [%];CO2 - Actual [ppm];CO2 - Average [ppm];PAR - Actual [µmol/m²/s];PAR - Average [µmol/m²/s]
7/14/2019 07:01:48;21.5873015873016;21.5970695970696;46.2515262515263;46.3809523809524;415.140415140415;418.192918192918;-4.85;-4.85
7/14/2019 07:02:48;21.5873015873016;21.5750915750916;47.4236874236874;46.2173382173382;416.361416361416;415.506715506715;-4.85;-4.85
7/14/2019 07:03:48;21.6117216117216;21.6019536019536;45.6898656898657;47.1501831501831;427.350427350427;419.90231990232;-4.85;-4.85
7/14/2019 07:04:48;21.6605616605617;21.6349206349206;47.4725274725275;46.4346764346764;415.140415140415;420.757020757021;-4.85;-4.85
7/14/2019 07:05:48;21.6239316239316;21.6495726495726;44.6153846153846;45.6849816849817;422.466422466423;418.192918192918;-4.85;-4.85
7/14/2019 07:06:48;21.6239316239316;21.6263736263736;46.5201465201465;46.4908424908425;420.02442002442;421.367521367521;-4.85;-4.85
7/14/2019 07:07:54;21.5750915750916;21.6031746031746;46.1538461538462;45.054945054945;417.582417582418;418.192918192918;-4.85;-4.85
7/14/2019 07:08:54;21.5750915750916;21.5750915750916;46.9108669108669;47.1086691086691;417.582417582418;418.559218559219;-4.85;-4.85
7/14/2019 07:09:54;21.5873015873016;21.5726495726496;48.5958485958486;47.3528693528693;420.02442002442;419.291819291819;-4.85;-4.85
7/14/2019 07:11:00;21.6605616605617;21.6410256410256;45.3968253968254;47.3650793650794;423.687423687424;421.001221001221;-4.85;-4.85
7/14/2019 07:12:00;21.7338217338217;21.6984126984127;46.5445665445665;46.8205128205128;420.02442002442;422.344322344322;-4.85;-4.85
7/14/2019 07:13:00;21.6849816849817;21.7155067155067;45.2747252747253;44.8009768009768;416.361416361416;417.460317460318;-4.85;-4.85
7/14/2019 07:14:00;21.6605616605617;21.6727716727717;45.9096459096459;46.2783882783883;423.687423687424;421.367521367521;-4.85;-4.85
7/14/2019 07:15:06;21.6117216117216;21.6251526251526;47.1794871794872;45.7802197802198;422.466422466423;420.634920634921;-4.508;-4.8158
7/14/2019 07:16:06;21.6117216117216;21.6153846153846;45.4456654456654;46.7619047619047;420.02442002442;422.344322344322;-4.85;-4.85
7/14/2019 07:17:06;21.6239316239316;21.6117216117216;47.6923076923077;46.5152625152625;422.466422466423;417.338217338217;-4.85;-4.85
7/14/2019 07:18:06;21.6483516483517;21.6410256410256;45.4212454212454;46.2637362637362;417.582417582418;418.315018315018;-4.85;-4.85
7/14/2019 07:19:06;21.6605616605617;21.6422466422466;47.1306471306471;46.981684981685;421.245421245421;422.100122100122;-4.85;-4.85
7/14/2019 07:20:06;21.6605616605617;21.6605616605617;46.3736263736264;45.8925518925519;421.245421245421;423.443223443223;-4.85;-4.85
7/14/2019 07:21:06;21.7094017094017;21.6825396825397;46.3980463980464;47.1184371184371;422.466422466423;425.274725274725;-4.85;-4.85
7/14/2019 07:22:06;21.6849816849817;21.6886446886447;47.1794871794872;45.8827838827839;422.466422466423;421.367521367521;-4.85;-4.85
7/14/2019 07:23:12;21.7216117216117;21.7240537240537;44.9328449328449;46.3931623931624;415.140415140415;419.41391941392;-4.85;-4.85
7/14/2019 07:24:12;21.7338217338217;21.7301587301587;46.9352869352869;46.5299145299145;415.140415140415;416.727716727717;-4.85;-4.85
7/14/2019 07:25:12;21.7094017094017;21.7277167277167;44.4932844932845;44.7814407814408;410.25641025641;416.117216117216;-4.85;-4.85
7/14/2019 07:26:12;21.6605616605617;21.6739926739927;45.8363858363858;45.8608058608058;420.02442002442;421.733821733822;-4.85;-4.85
7/14/2019 07:27:12;21.5873015873016;21.6080586080586;47.1550671550672;45.4945054945055;422.466422466423;422.100122100122;-4.85;-4.85
7/14/2019 07:28:18;21.5873015873016;21.5885225885226;46.5689865689866;47.5604395604396;422.466422466423;422.466422466422;-4.85;-4.85
7/14/2019 07:29:24;21.6483516483517;21.6092796092796;48.034188034188;47.2747252747253;412.698412698413;419.047619047619;-4.85;-4.85
7/14/2019 07:30:24;21.6605616605617;21.6666666666667;44.1269841269841;45.5726495726496;417.582417582418;422.222222222222;-4.85;-4.85
7/14/2019 07:31:24;21.6605616605617;21.6605616605617;45.8119658119658;45.9120879120879;412.698412698413;417.338217338217;-4.85;-4.85
7/14/2019 07:32:24;21.5873015873016;21.6141636141636;46.007326007326;45.3211233211233;417.582417582418;416.605616605617;-4.85;-4.85
7/14/2019 07:33:24;21.5873015873016;21.5934065934066;46.2026862026862;46.6031746031746;415.140415140415;415.018315018315;-4.85;-4.85
7/14/2019 07:34:24;21.6117216117216;21.5934065934066;47.6434676434676;46.4639804639804;417.582417582418;416.605616605617;-4.85;-4.85
7/14/2019 07:35:24;21.6605616605617;21.6336996336996;45.030525030525;46.6764346764347;417.582417582418;415.995115995116;-4.85;-4.85
7/14/2019 07:36:24;21.6849816849817;21.6642246642247;46.9352869352869;46.7716727716728;406.593406593407;415.873015873016;-4.85;-4.85
